previous_habit_ratio,sleep_hours,sleep_quality,water_liters,steps_count,calories,protein,carbs,fat,mood,habit_success
0.8,6.6,2,2.7,10253,2546,132.1,345.4,55.5,3,1
0.86,7.0,1,2.7,8421,2627,100.1,343.5,61.7,4,1
0.81,6.1,2,3.2,9563,2562,117.6,358.3,54.0,4,1
0.81,8.4,1,3.9,7169,2897,63.1,213.4,104.5,4,1
0.81,8.8,1,3.2,11562,2921,145.4,274.4,103.4,3,1
0.86,7.2,2,2.5,6929,2053,126.2,299.8,77.1,3,1
0.78,6.8,2,2.4,11012,2584,122.5,399.7,64.0,3,1
0.96,7.4,2,4.0,11586,2654,120.1,341.9,88.5,4,1
0.97,8.6,1,3.6,10167,2459,70.9,240.2,59.7,4,1
0.71,7.7,2,2.9,10519,2265,115.1,217.2,71.7,4,1
0.86,8.3,1,2.3,8597,2151,100.5,336.0,74.1,3,1
0.93,6.4,1,3.7,10244,2313,87.4,232.4,115.4,3,1
0.8,8.8,2,3.7,8052,2402,117.2,310.2,58.8,4,1
0.88,6.3,1,3.2,10756,2315,75.4,324.9,113.1,4,1
0.95,7.7,1,2.2,11254,3181,83.8,242.2,90.0,3,1
0.85,7.9,2,3.3,8474,2989,82.0,361.5,78.4,4,1
0.72,6.2,2,2.8,9804,2417,90.6,228.7,110.3,4,1
0.92,8.6,2,2.3,9035,3054,110.5,263.8,82.7,4,1
0.83,6.4,1,2.6,9146,2856,82.3,373.1,61.2,4,1
0.98,8.2,1,3.5,10081,3054,102.0,375.8,84.8,3,1
0.98,7.5,1,2.4,8890,2099,64.5,299.0,111.8,4,1
0.79,6.0,1,2.9,8166,2749,128.7,273.2,78.0,3,1
0.81,6.9,2,3.0,10504,2572,134.3,324.6,92.8,3,1
0.99,7.2,2,3.1,8995,2295,77.9,301.8,85.0,3,1
0.71,8.1,2,3.0,7220,3055,72.6,386.3,72.3,4,1
1.0,8.2,2,3.2,10155,3043,107.9,341.7,71.0,3,1
0.81,8.0,2,3.2,11941,2054,113.7,253.1,95.9,3,1
0.92,7.8,1,3.0,11907,2778,73.3,336.1,52.2,3,1
0.76,7.3,2,2.3,11656,2417,96.9,355.0,114.4,3,1
0.91,7.6,2,4.0,9918,3076,93.9,391.3,82.2,4,1
0.86,8.0,2,3.2,7575,2504,85.1,259.7,115.9,4,1
0.93,8.1,2,2.6,8857,3147,144.0,359.1,69.1,3,1
0.87,7.6,2,3.6,7199,2594,63.8,391.1,55.5,4,1
0.9,8.2,1,2.4,10412,2555,144.0,339.2,59.6,3,1
0.77,8.0,1,3.3,6430,2205,97.2,343.5,57.0,3,1
0.7,7.7,1,2.8,9896,2977,118.5,351.2,70.1,4,1
0.89,8.7,1,3.3,7902,3095,126.5,370.1,52.6,3,1
0.83,8.5,1,4.0,9252,3014,76.8,349.8,111.1,4,1
0.96,6.0,1,3.9,8744,2582,100.9,328.3,86.7,3,1
0.96,7.4,1,3.6,8708,2332,125.8,329.7,100.3,3,1
0.92,8.4,1,2.4,11232,2830,134.4,303.1,56.1,3,1
0.76,6.4,2,3.9,6055,2534,94.5,289.3,68.7,4,1
0.79,8.2,1,2.5,8945,2483,65.6,223.6,71.5,4,1
0.91,8.8,2,3.4,11232,2604,93.1,244.2,117.0,4,1
0.75,8.2,2,2.8,10499,2964,128.2,360.4,107.8,3,1
0.9,7.8,1,3.1,10326,2740,67.0,312.8,54.3,3,1
0.87,6.4,2,3.7,9619,2238,121.2,343.4,84.2,4,1
0.94,7.4,2,2.9,6472,3144,101.6,361.4,100.6,4,1
0.78,6.0,1,3.2,6371,2867,91.0,212.8,119.6,3,1
1.0,7.4,2,2.8,7109,2860,93.7,378.3,81.4,4,1
0.81,8.0,1,3.3,8848,2242,76.1,307.5,87.0,3,1
0.95,8.3,2,2.9,11890,3115,98.2,275.9,66.1,4,1
0.8,6.8,1,2.1,11408,2858,115.3,387.2,112.2,3,1
0.76,6.3,1,2.9,11505,2099,82.0,208.8,80.7,3,1
0.93,8.3,1,3.0,8369,2479,133.4,346.3,72.3,4,1
0.77,8.6,1,2.8,8254,2124,110.1,318.3,101.5,3,1
0.89,7.3,2,2.1,8821,2780,130.7,263.7,79.1,3,1
0.79,6.6,2,2.5,7846,2615,137.2,228.9,82.4,3,1
0.87,8.9,1,2.8,8088,2416,89.7,215.8,81.5,4,1
0.73,8.2,1,2.1,9089,2080,138.6,237.6,103.3,3,1
0.84,8.6,2,2.6,6125,2433,144.3,392.4,58.2,4,1
0.97,8.1,1,2.8,7960,3130,88.9,256.6,82.6,4,1
0.79,7.1,2,2.9,11918,2961,128.5,264.0,64.2,4,1
0.82,7.7,1,3.5,6132,2534,109.8,316.8,100.4,4,1
0.75,7.0,2,3.1,8013,3022,109.6,388.7,73.6,4,1
0.99,7.9,2,2.9,8885,2346,72.6,309.3,62.9,3,1
0.86,8.5,1,3.9,11474,2099,128.8,282.5,109.0,3,1
0.72,6.5,1,3.0,9057,2123,115.6,333.4,93.2,4,1
0.9,6.0,2,2.0,10336,2562,108.2,257.3,85.2,4,1
0.94,8.7,1,3.8,10295,2304,81.7,324.0,67.7,4,1
0.78,7.2,2,3.9,9760,3157,81.9,339.4,71.0,3,1
0.9,8.6,1,2.2,9106,2772,109.7,211.2,50.7,3,1
0.72,8.5,2,3.1,6781,3081,142.7,246.0,113.1,4,1
0.78,8.8,2,3.8,10616,2067,76.1,370.1,51.1,3,1
0.88,8.3,2,3.9,8451,2332,110.8,313.3,109.5,4,1
0.82,8.2,1,3.0,8833,2109,68.8,246.4,55.3,4,1
0.99,7.0,2,3.6,9690,3004,80.5,310.6,76.3,3,1
0.9,8.0,1,3.5,8419,2504,124.2,216.4,60.8,3,1
0.92,7.0,1,2.2,8525,2910,92.4,254.0,59.3,3,1
0.83,7.7,2,2.2,6734,2724,109.9,319.4,104.9,4,1
0.7,7.2,1,3.4,10583,2497,111.5,233.9,76.7,3,1
0.78,6.8,1,2.1,9560,2565,97.9,296.8,55.4,4,1
0.98,8.2,2,3.2,7601,2937,69.6,260.9,116.4,4,1
0.95,7.1,2,2.9,9527,2278,87.0,320.6,98.7,4,1
0.79,8.9,2,2.6,11693,3005,147.1,356.4,72.8,4,1
0.94,7.2,1,3.9,7636,3117,76.2,353.5,51.9,4,1
0.98,6.6,2,3.7,6566,2837,120.6,227.8,71.2,4,1
0.9,8.1,2,2.1,10898,2981,112.4,306.9,114.6,4,1
0.86,8.4,2,3.4,10398,2174,69.8,249.6,96.5,3,1
0.89,6.1,2,3.9,8716,2881,69.5,219.7,65.5,3,1
0.83,7.2,1,2.7,6201,2988,69.4,283.2,117.3,3,1
0.95,8.2,2,2.6,9730,2423,106.9,269.7,56.8,4,1
0.8,6.9,1,2.0,8810,2223,120.9,232.9,118.9,3,1
0.85,7.7,2,3.1,9785,2474,131.8,326.0,63.0,4,1
0.82,8.2,1,2.9,9518,2796,60.4,243.0,69.5,3,1
0.87,8.4,1,2.7,7614,2937,70.3,334.1,84.3,4,1
0.88,7.8,1,2.7,9750,2353,133.2,341.2,70.8,3,1
0.9,6.9,1,2.6,7499,2764,122.4,302.2,79.3,3,1
0.87,7.3,2,3.3,11680,2354,109.9,297.9,59.8,4,1
0.95,7.9,2,3.9,9969,2279,77.6,276.8,89.3,4,1
0.82,7.5,2,3.0,6677,3157,62.8,352.2,70.4,4,1
0.77,6.9,2,3.1,10057,3125,106.0,314.5,68.8,4,1
0.86,8.3,2,3.1,9482,2209,126.2,330.7,67.3,3,1
0.83,7.0,1,2.9,6961,2485,78.9,347.5,98.2,4,1
0.75,6.4,1,3.6,6486,3167,91.6,256.2,87.7,4,1
0.99,6.9,2,3.9,10214,2195,72.2,350.0,78.8,3,1
1.0,8.6,1,3.4,7087,2511,73.2,264.4,67.3,4,1
0.85,7.7,2,3.3,9073,2925,66.8,358.9,103.8,4,1
0.85,6.8,2,2.9,9998,2670,112.4,373.8,109.3,3,1
0.92,7.4,2,3.7,10378,2814,79.6,285.9,64.8,4,1
0.8,6.9,1,3.1,9975,2703,140.5,352.5,53.2,4,1
0.7,8.8,1,2.9,6005,2876,78.2,337.7,59.2,4,1
0.75,8.8,2,2.2,8952,2512,67.4,332.9,95.4,3,1
0.82,6.9,1,2.9,6747,2194,60.1,295.4,59.3,3,1
0.86,7.3,1,3.4,6987,2864,122.5,295.5,66.0,3,1
0.92,6.3,2,2.7,8451,2280,94.4,362.7,111.2,3,1
0.72,7.7,1,2.9,11918,2436,116.5,230.3,78.8,4,1
0.96,6.3,1,2.3,7008,2786,91.6,285.9,105.4,3,1
0.78,6.3,2,3.6,11656,2054,136.3,331.7,71.1,3,1
0.92,6.9,1,3.6,7960,3013,94.7,248.2,94.7,3,1
0.86,8.9,2,3.9,7081,2792,137.5,313.7,75.6,3,1
0.93,8.9,1,2.0,6553,2028,83.6,208.0,54.2,4,1
0.85,7.9,2,2.8,9295,2168,117.6,307.5,60.7,3,1
0.79,7.5,1,3.9,7272,3098,89.4,317.3,103.4,3,1
0.79,7.3,1,2.1,6706,2889,70.4,322.5,53.9,3,1
0.74,8.1,1,2.3,8840,3071,106.6,364.5,68.1,4,1
0.74,8.3,2,3.5,6967,2060,90.2,285.9,86.7,4,1
0.91,7.7,1,3.0,10184,2737,65.0,371.9,61.7,3,1
0.78,6.3,1,2.5,10168,2005,64.0,372.6,67.1,4,1
0.81,8.8,1,3.9,6289,3132,132.3,342.8,95.9,3,1
0.8,7.2,2,2.5,6638,3170,93.6,300.4,113.1,3,1
0.77,7.5,1,3.9,6564,2952,137.9,354.7,71.7,3,1
0.87,6.0,1,2.6,8489,2496,101.8,318.3,84.5,3,1
0.92,7.6,1,2.3,9359,2048,81.0,269.3,108.8,3,1
0.99,6.0,2,3.7,11957,2629,69.4,306.0,66.7,4,1
0.99,8.9,1,3.4,6762,2089,142.9,379.5,86.4,4,1
0.84,8.2,1,3.0,11220,2807,66.7,313.6,80.4,3,1
0.77,6.8,2,3.9,9219,2668,88.6,254.4,55.2,3,1
0.74,8.3,1,2.3,7346,2920,101.9,281.3,87.5,3,1
0.84,7.4,1,2.2,11620,2623,134.4,339.4,52.8,4,1
0.74,8.1,2,2.8,6401,2612,83.4,398.1,52.2,4,1
0.96,7.7,1,2.2,6834,2286,70.9,212.3,104.7,3,1
0.74,8.5,2,3.4,11281,2172,112.4,251.8,106.9,3,1
1.0,6.6,2,3.6,6753,2679,71.0,388.5,53.5,4,1
0.95,7.2,1,2.8,9495,2353,91.9,381.7,69.2,4,1
0.97,6.1,1,3.3,10086,2843,139.5,295.8,56.1,4,1
0.74,6.6,1,3.3,10453,2039,149.0,356.4,75.1,4,1
0.8,7.7,2,2.8,7473,2053,88.7,243.8,112.7,4,1
0.72,9.0,2,3.5,7906,2326,69.0,331.4,68.7,3,1
0.93,8.8,2,2.7,7423,2360,81.3,263.6,101.7,4,1
0.97,6.1,2,3.9,10617,2291,110.7,237.6,119.2,4,1
0.86,6.5,1,2.2,7905,2448,61.8,295.6,73.2,3,1
0.94,7.0,1,3.8,8650,2121,62.0,317.3,114.2,3,1
0.95,8.6,1,2.7,11424,2810,112.7,267.3,72.6,3,1
0.92,7.3,2,3.3,7427,3150,122.4,385.8,105.1,3,1
0.9,8.4,2,2.6,11640,2603,71.5,345.8,116.4,4,1
0.96,8.3,1,2.4,8606,2452,117.6,220.8,84.7,4,1
0.92,6.7,2,2.3,6726,2687,100.2,253.0,67.5,3,1
0.81,8.4,1,2.1,9589,2859,147.2,376.9,84.5,4,1
0.81,7.1,2,3.6,10735,2461,74.6,214.7,109.2,4,1
0.71,6.8,1,2.1,7393,2768,74.5,215.0,115.9,3,1
0.8,9.0,2,3.4,9533,2337,114.7,286.8,53.7,4,1
0.76,6.6,2,3.3,8436,2486,68.6,278.6,88.5,4,1
0.75,7.1,2,2.2,11423,2983,78.0,205.1,62.0,4,1
0.99,7.4,1,2.6,9256,2964,104.0,332.2,56.4,4,1
0.76,8.7,2,2.4,6365,2539,99.6,252.7,108.6,3,1
0.75,8.1,1,2.2,8816,3108,97.3,351.3,65.9,3,1
0.95,8.5,2,3.9,11628,2972,111.5,247.1,70.9,4,1
0.97,8.1,1,2.2,9678,2354,145.4,233.4,64.8,3,1
0.74,7.3,2,2.4,11138,2302,135.1,251.6,113.8,3,1
0.73,7.7,2,3.7,10257,2938,142.5,202.5,99.0,4,1
0.73,6.4,1,3.8,10609,2206,130.7,373.5,111.6,4,1
0.78,8.0,2,2.1,8256,2825,72.9,321.7,98.6,3,1
0.82,8.6,1,2.1,9892,2550,140.7,204.0,107.2,4,1
0.79,8.5,1,3.9,7867,2275,87.0,348.7,104.2,4,1
0.78,7.3,1,2.4,7731,2833,126.7,351.9,110.7,3,1
0.85,6.5,2,3.4,9304,2277,130.2,304.9,89.8,3,1
0.76,8.5,1,2.5,9739,2103,142.6,340.9,69.2,4,1
0.85,7.9,1,3.4,7981,2762,104.0,289.2,117.2,4,1
0.88,7.0,1,3.7,8118,2185,85.7,277.3,61.4,3,1
0.96,7.9,1,2.5,9354,3051,61.8,356.1,103.7,3,1
0.84,6.4,1,3.2,6069,2458,82.7,361.0,71.4,4,1
0.83,7.1,2,2.9,7787,2955,87.2,304.1,93.7,3,1
0.7,9.0,2,3.1,10864,2578,86.9,221.6,54.5,4,1
0.89,8.6,2,3.3,11336,2611,77.0,303.5,66.8,3,1
0.94,8.4,2,3.3,11576,2286,124.9,331.1,119.8,4,1
0.97,7.2,1,3.2,10686,2388,90.9,342.7,98.0,4,1
0.97,8.0,2,3.7,11387,3143,76.3,219.5,59.0,4,1
0.92,7.7,1,3.9,8749,2182,80.0,244.7,111.0,4,1
0.94,7.0,2,3.2,9799,2241,102.3,373.3,90.9,3,1
0.84,6.6,1,3.7,9126,3085,86.9,210.8,109.8,3,1
1.0,7.0,2,2.3,11862,2369,130.1,297.5,94.2,3,1
0.79,6.2,2,2.5,7381,3180,128.8,297.9,103.4,3,1
0.74,7.3,2,2.8,9910,2785,60.4,306.8,101.1,3,1
0.97,8.3,1,2.0,6033,2509,80.4,375.4,71.8,3,1
0.82,7.8,1,2.1,6374,2610,145.4,291.2,86.4,4,1
0.83,8.1,1,2.7,10015,2735,127.5,233.0,113.5,4,1
0.71,6.7,1,2.4,6179,3033,75.2,273.3,95.5,3,1
0.81,7.9,1,3.2,6392,2221,118.8,203.9,98.3,4,1
0.83,6.4,2,2.9,7254,2420,122.6,326.1,71.1,3,1
0.9,6.8,1,2.8,6859,3047,124.7,223.5,58.0,3,1
0.85,7.8,2,3.7,7652,2733,123.3,259.1,52.8,4,1
0.97,8.1,2,2.7,6022,2026,120.4,381.4,108.5,4,1
0.74,6.3,1,3.4,6829,2524,118.0,291.4,118.4,4,1
0.84,6.3,1,3.7,8380,2737,132.1,262.5,101.7,3,1
0.96,8.7,1,3.7,11434,2349,89.6,378.9,116.9,4,1
0.96,6.3,2,2.4,9283,2819,146.6,254.4,77.0,4,1
0.94,7.9,1,2.2,11703,2120,148.3,368.9,57.3,4,1
0.94,8.0,1,3.2,8937,2059,137.6,376.0,100.9,3,1
0.84,7.5,2,2.9,6518,2535,118.9,202.5,110.8,3,1
0.99,8.0,2,3.0,11638,2195,99.0,345.3,83.7,4,1
0.74,8.5,1,2.0,7285,3035,136.4,370.4,110.9,3,1
0.93,7.0,2,3.9,6412,3038,80.0,328.7,78.2,3,1
0.72,7.3,2,2.2,10083,2915,88.4,396.1,102.2,3,1
0.73,7.2,1,3.7,10949,2623,140.1,312.5,95.8,4,1
0.99,7.1,1,3.6,9722,2679,110.4,324.0,83.1,4,1
0.91,6.3,1,2.0,8909,2597,109.3,274.8,57.4,3,1
0.85,8.5,2,2.2,11004,2401,76.9,386.0,77.5,4,1
0.95,6.6,2,2.2,9395,2095,143.4,367.5,91.2,4,1
0.84,7.8,1,3.9,6035,3086,126.3,310.6,80.3,4,1
0.98,8.3,1,3.4,7422,2262,69.3,331.5,92.4,4,1
0.85,7.2,1,2.5,8808,2602,100.8,226.7,78.9,4,1
0.95,7.6,2,3.4,10534,2445,78.1,324.8,70.3,4,1
0.98,6.4,1,3.0,11687,2660,123.9,352.2,89.4,4,1
0.9,8.7,2,3.8,9460,2026,107.0,205.1,60.2,3,1
0.76,8.3,1,4.0,11598,2513,73.2,212.4,104.9,3,1
0.93,6.1,2,2.2,11533,3150,137.8,348.5,89.3,3,1
0.85,8.4,2,3.4,6384,2781,94.9,391.3,118.3,4,1
0.99,6.2,2,2.4,9629,2461,142.0,340.9,95.3,3,1
0.93,8.9,2,2.9,11592,2152,76.8,234.8,86.0,4,1
