steps_count,activity_type,water_liters,calories,protein,carbs,fat,habit_completion_ratio,mood,sleep_quality
3216,1,0.5,1670,122.1,236.8,47.9,0.09,1,0
3595,0,1.2,1702,45.1,309.2,63.5,0.18,1,0
2535,1,0.9,1850,59.3,271.9,70.6,0.21,0,0
3798,2,0.7,2197,90.6,283.4,111.9,0.06,1,0
2905,3,1.4,2293,144.0,347.5,63.9,0.22,0,0
2737,3,1.2,2067,133.9,171.3,70.5,0.34,0,0
2470,2,1.1,2316,40.9,323.0,102.3,0.12,1,0
1200,1,1.4,2363,106.8,220.5,90.9,0.2,1,0
3543,0,0.8,2373,139.4,279.3,64.7,0.29,0,0
2805,2,0.5,1973,75.9,233.1,56.1,0.29,0,0
3209,1,1.4,1974,68.3,314.9,78.5,0.21,1,0
2208,0,1.2,1946,55.5,343.3,108.8,0.32,1,0
3966,0,1.2,2006,127.0,152.8,82.9,0.39,1,0
2862,2,0.9,2366,51.9,196.8,42.0,0.27,1,0
3299,3,0.8,2224,140.0,210.4,72.7,0.09,0,0
1572,0,0.5,1638,50.7,327.5,50.9,0.12,1,0
2858,1,0.9,2360,137.4,281.0,106.7,0.28,1,0
3521,1,0.9,1886,88.8,340.1,108.4,0.01,1,0
1406,0,1.5,1976,83.8,188.0,49.8,0.22,1,0
2862,0,0.6,1817,126.5,198.7,50.1,0.26,0,0
3312,1,0.7,2383,76.1,179.5,112.0,0.22,0,0
1011,1,0.8,1748,52.1,323.3,50.5,0.4,1,0
2467,1,1.3,1843,69.2,175.4,73.7,0.24,0,0
1465,0,1.2,2087,89.7,194.3,89.2,0.18,1,0
3978,0,1.3,2274,46.7,245.8,72.1,0.21,1,0
3810,0,0.6,2329,75.4,179.7,50.1,0.36,0,0
3557,2,1.1,2161,89.9,271.1,47.9,0.28,1,0
3874,3,0.6,2270,89.7,195.7,67.1,0.26,0,0
2857,2,0.9,2347,113.2,224.9,52.2,0.04,1,0
2942,2,0.6,1687,129.3,261.3,86.9,0.04,0,0
3300,3,1.1,2286,135.5,294.2,117.5,0.05,1,0
3459,1,0.8,1706,112.2,194.8,48.7,0.23,0,0
3278,3,0.9,2380,133.0,344.9,105.5,0.11,0,0
3513,0,1.2,2170,59.8,290.5,64.7,0.01,1,0
2391,0,0.9,1785,55.6,276.6,42.5,0.35,1,0
3172,2,0.7,2029,74.3,214.9,115.3,0.18,0,0
3442,0,0.6,1653,69.9,282.4,78.9,0.06,0,0
2810,2,0.9,1820,87.3,206.6,94.3,0.3,0,0
2993,0,1.0,1915,40.8,210.3,56.9,0.02,1,0
1562,3,1.3,1896,122.2,185.1,70.4,0.13,0,0
3882,0,0.7,2172,83.7,298.4,74.9,0.33,1,0
2883,3,1.4,1920,71.8,231.0,117.3,0.23,1,0
1703,0,1.3,2232,88.0,171.2,74.9,0.18,1,0
2640,1,1.0,2005,76.6,183.6,80.8,0.35,1,0
1467,2,1.0,1798,120.0,313.8,105.2,0.36,1,0
1967,0,0.6,1862,59.5,304.6,79.5,0.08,0,0
3309,2,1.3,2059,56.6,163.7,75.4,0.27,1,0
2240,2,1.3,2205,90.8,157.5,69.5,0.02,0,0
2175,3,0.6,1692,103.8,340.8,99.1,0.25,1,0
1168,3,0.9,2185,95.2,341.5,76.0,0.26,1,0
2406,0,1.5,1686,67.3,237.6,75.2,0.2,0,0
3141,3,1.1,1972,85.0,217.7,87.8,0.15,1,0
3584,2,1.1,1667,67.7,320.3,117.2,0.13,1,0
3468,2,1.4,1941,74.1,281.2,93.0,0.03,0,0
1528,2,1.1,1686,129.5,284.0,106.3,0.12,1,0
3807,2,1.4,1695,42.0,211.8,116.1,0.26,1,0
2399,1,1.4,2097,48.5,318.9,48.1,0.08,0,0
3210,1,1.3,2139,105.7,180.9,54.5,0.02,1,0
3837,3,1.3,1769,80.1,293.9,117.6,0.29,0,0
3500,1,0.8,2366,74.0,311.7,77.5,0.31,0,0
1794,2,0.9,2184,125.6,250.6,73.5,0.39,1,0
1663,0,1.3,2219,110.5,324.8,84.4,0.06,1,0
1420,0,1.2,2128,123.9,204.6,112.4,0.34,1,0
1603,3,1.3,1693,137.3,336.1,73.2,0.38,0,0
2623,2,1.0,1841,64.7,213.7,47.9,0.15,0,0
3927,3,1.1,1749,116.6,177.8,96.4,0.06,1,0
2837,1,1.1,1681,100.4,295.4,82.2,0.01,0,0
1455,1,1.3,1843,86.2,308.8,76.6,0.12,0,0
1454,1,1.3,2111,119.0,208.3,40.1,0.24,0,0
2445,2,0.7,2026,47.4,255.2,80.6,0.07,0,0
3079,3,1.1,1999,147.9,200.7,41.3,0.35,0,0
1276,2,0.8,2350,54.7,220.5,67.1,0.26,0,0
3632,1,0.7,2397,129.3,162.6,102.1,0.27,1,0
2874,0,0.5,1806,74.7,212.0,71.9,0.02,0,0
3224,2,1.0,1637,79.3,306.2,109.3,0.3,0,0
2359,3,0.8,1976,138.4,227.3,117.9,0.17,1,0
3032,0,1.2,1976,120.0,165.8,88.2,0.37,1,0
1739,2,1.0,1928,73.7,270.5,74.1,0.04,1,0
3825,3,0.9,2057,70.2,346.0,115.8,0.02,1,0
1307,0,1.2,2015,55.7,271.5,102.5,0.15,0,0
1142,2,0.6,1841,82.1,263.4,88.4,0.31,1,0
3781,1,0.9,1979,98.2,229.6,92.0,0.15,0,0
2022,3,1.5,1626,140.5,173.6,102.0,0.29,1,0
3883,1,0.9,2226,53.5,320.6,76.2,0.11,1,0
3921,2,0.9,1689,118.0,260.0,63.2,0.32,1,0
2228,2,1.4,2328,96.0,174.3,56.1,0.28,0,0
1568,3,0.7,2105,128.4,260.3,89.0,0.01,1,0
1353,3,0.6,2007,124.6,314.7,45.9,0.4,1,0
2298,1,1.1,2060,136.6,306.1,91.2,0.19,1,0
1745,0,1.3,1732,97.0,210.8,53.0,0.17,0,0
3905,2,0.7,2131,61.6,341.3,62.0,0.36,0,0
3560,1,0.8,2146,58.8,274.9,112.2,0.04,0,0
2382,0,1.3,2177,45.0,278.3,86.1,0.02,0,0
3667,3,0.7,2185,137.8,259.1,91.4,0.17,0,0
2237,0,1.0,2301,115.7,181.6,73.2,0.16,1,0
2902,2,0.7,2221,147.3,176.2,69.6,0.06,1,0
3300,3,0.6,1847,67.3,169.4,63.2,0.19,1,0
2573,2,1.4,2028,142.7,294.2,55.2,0.1,0,0
1652,3,1.0,2127,42.5,339.0,80.4,0.19,1,0
1986,3,0.7,1961,105.7,318.6,93.8,0.02,1,0
2170,2,1.0,1710,124.0,223.2,72.0,0.17,1,0
3335,3,1.1,1971,95.5,302.9,62.4,0.22,0,0
3552,3,1.2,1721,81.1,347.4,84.6,0.05,0,0
2497,0,1.3,1803,45.0,177.4,66.6,0.24,1,0
2940,2,1.0,1752,142.5,213.7,71.4,0.24,0,0
3525,2,1.2,1906,92.2,153.3,66.5,0.24,1,0
1448,3,1.5,2197,69.2,281.1,117.8,0.12,0,0
3369,1,1.1,2338,97.7,294.2,102.0,0.02,1,0
2557,1,0.6,2297,42.1,212.7,52.1,0.1,0,0
3828,0,0.7,2113,117.6,253.7,84.9,0.31,1,0
3712,3,1.0,1985,140.3,218.5,68.3,0.13,0,0
3952,1,1.2,2309,145.3,205.8,63.9,0.11,1,0
2219,2,1.3,2321,92.8,262.1,114.8,0.08,1,0
3955,3,0.8,1724,130.0,340.9,104.4,0.23,1,0
2189,2,0.5,2331,122.2,192.8,106.2,0.03,1,0
2110,1,1.4,2312,66.7,284.0,82.5,0.11,0,0
3613,0,0.7,1702,114.9,177.5,117.2,0.17,1,0
1646,2,0.9,2087,75.3,279.2,112.6,0.19,0,0
1366,1,1.2,1837,86.0,317.5,114.7,0.21,0,0
1148,2,1.5,2006,136.4,151.9,85.4,0.32,0,0
1439,1,1.4,1943,133.6,243.6,55.4,0.11,1,0
1461,1,0.8,2348,41.5,217.4,63.6,0.18,1,0
3762,3,1.3,1779,96.7,167.3,93.5,0.24,1,0
1756,0,1.5,2088,68.7,197.1,100.3,0.13,0,0
2350,2,0.8,2340,116.2,162.4,49.5,0.23,1,0
2256,0,0.7,2302,110.3,338.1,69.4,0.2,1,0
1904,2,0.7,1736,85.7,259.8,77.7,0.19,1,0
3201,3,1.3,1823,98.1,222.4,113.4,0.3,0,0
1459,1,0.6,2160,58.1,320.9,75.3,0.36,0,0
3786,0,0.7,2197,89.9,252.6,76.5,0.2,1,0
1236,3,1.1,2288,68.0,150.6,57.4,0.32,0,0
1299,0,0.5,1952,148.5,244.4,63.0,0.28,0,0
1737,2,1.3,2384,149.2,226.5,109.6,0.26,1,0
2546,2,0.9,2299,53.0,348.6,71.4,0.39,0,0
1521,2,1.2,1828,90.9,293.8,73.9,0.33,0,0
2553,2,1.3,1853,60.7,325.0,101.2,0.18,0,0
1131,1,1.3,2029,62.7,170.2,42.7,0.25,0,0
3448,3,1.2,1649,88.3,258.0,100.4,0.1,0,0
1231,2,0.6,1896,66.1,325.3,118.9,0.09,1,0
3135,3,0.7,1907,101.1,159.4,67.6,0.11,0,0
3635,3,1.2,2137,56.4,225.3,100.4,0.13,1,0
2939,3,0.7,1830,140.6,262.5,117.4,0.12,0,0
3282,2,1.0,1997,111.1,334.4,107.8,0.1,0,0
1378,0,1.0,1795,136.1,187.6,100.9,0.02,1,0
3966,2,1.2,1822,145.3,153.1,115.0,0.19,1,0
1480,1,1.2,2372,83.6,197.9,65.7,0.19,0,0
2159,2,0.9,2146,79.6,326.6,77.3,0.26,1,0
3959,2,1.0,1927,85.5,262.5,57.7,0.37,1,0
1597,2,0.5,2166,56.8,216.0,70.4,0.37,1,0
2006,2,1.0,2270,124.0,247.7,97.9,0.38,1,0
3009,1,1.0,2350,119.2,247.7,113.4,0.32,0,0
3220,0,1.5,1660,124.1,232.5,107.4,0.21,0,0
1947,2,0.6,1754,46.6,277.5,114.7,0.0,1,0
2979,0,1.2,1616,41.8,294.4,82.9,0.0,1,0
2174,0,0.5,2314,141.0,254.9,59.3,0.27,0,0
3538,0,1.0,1962,81.0,231.2,85.2,0.11,1,0
3855,0,0.7,2300,50.3,225.9,84.2,0.33,0,0
1229,3,1.1,2319,110.9,216.3,118.2,0.07,1,0
1390,2,1.4,1643,45.1,164.9,114.0,0.09,1,0
3224,0,1.1,1633,145.8,267.4,100.2,0.07,1,0
3919,3,1.3,1678,114.5,258.1,70.7,0.12,0,0
1573,0,1.3,2305,50.7,196.4,46.1,0.29,1,0
3478,0,1.3,2209,109.8,306.7,76.0,0.16,1,0
1934,0,0.9,1984,124.9,209.1,59.7,0.17,1,0
1301,3,0.6,1757,74.8,171.3,40.4,0.15,0,0
2262,0,0.9,2379,60.6,239.8,84.4,0.11,0,0
2671,2,0.6,1691,135.0,152.5,73.1,0.14,0,0
1346,1,1.2,2172,115.4,183.9,61.5,0.36,0,0
2099,3,1.0,1664,73.0,306.5,68.9,0.07,1,0
2010,3,1.2,2107,51.8,210.9,115.9,0.24,0,0
2360,3,1.3,1989,76.8,313.1,108.8,0.32,1,0
3434,3,0.6,1928,74.6,342.9,117.5,0.24,0,0
2193,2,1.2,2248,81.4,313.3,71.4,0.2,0,0
1466,0,1.4,1804,144.8,242.3,96.7,0.24,0,0
2795,3,1.3,2309,55.3,210.6,60.2,0.03,1,0
1631,3,1.2,1986,98.8,334.7,109.6,0.03,1,0
2713,0,1.0,1968,124.6,281.5,68.4,0.28,0,0
3650,2,1.1,2176,146.2,236.1,40.8,0.39,1,0
2059,3,0.7,2364,81.2,242.6,94.4,0.21,0,0
3828,0,1.0,1953,72.5,334.1,46.9,0.4,1,0
3990,3,0.6,1919,78.3,169.5,97.8,0.14,0,0
2853,0,0.8,1907,133.4,279.6,94.2,0.02,0,0
1673,1,1.4,2358,76.4,235.3,77.0,0.1,0,0
2659,3,1.1,1790,43.2,272.8,55.8,0.26,1,0
3425,2,0.9,1604,122.8,311.7,45.0,0.28,0,0
1416,1,1.3,2149,90.3,202.5,109.0,0.07,1,0
3161,0,1.5,1920,78.3,319.1,89.4,0.24,1,0
3759,1,1.2,1904,74.5,197.7,49.4,0.37,0,0
2529,3,1.2,2123,86.5,247.3,83.0,0.16,0,0
3642,2,1.4,1777,55.4,212.9,76.1,0.22,1,0
1219,3,1.4,1609,146.0,251.1,79.6,0.19,0,0
3804,1,1.0,2327,49.1,156.2,100.9,0.34,1,0
2196,3,0.5,1830,102.2,304.5,79.6,0.22,0,0
3092,0,0.6,1716,123.6,238.3,57.5,0.11,1,0
2741,0,0.6,2269,89.5,219.7,105.3,0.3,1,0
2798,1,1.4,1720,129.2,267.6,68.1,0.31,0,0
3911,1,1.1,2038,129.5,311.1,85.6,0.07,0,0
3180,2,0.8,2151,103.0,340.5,81.2,0.07,1,0
3782,0,1.3,1738,149.2,323.4,50.2,0.39,1,0
1543,3,0.7,2328,93.8,265.5,61.5,0.13,0,0
2696,3,0.9,1677,96.7,205.6,114.9,0.25,0,0
2511,0,1.0,2099,120.4,241.7,93.1,0.13,0,0
2467,1,1.4,2147,94.4,214.6,62.7,0.16,1,0
3241,0,1.1,2179,45.1,275.2,106.9,0.34,1,0
1066,3,0.6,1761,62.3,287.7,50.6,0.18,0,0
3662,2,0.8,1880,49.1,282.9,91.9,0.04,1,0
1212,3,0.9,1912,112.1,290.7,40.1,0.29,0,0
2953,0,0.6,2207,40.9,218.7,49.6,0.09,1,0
2729,0,1.2,2089,120.4,170.5,65.1,0.03,1,0
2225,1,0.6,2392,47.5,262.7,88.8,0.33,0,0
1672,3,0.9,2339,107.8,238.5,57.4,0.09,0,0
1411,2,0.6,1726,146.0,212.9,51.2,0.24,1,0
2134,0,1.1,1854,133.3,281.7,64.1,0.22,1,0
3120,0,1.1,1793,126.2,308.8,59.1,0.3,1,0
2580,0,0.6,2111,148.6,336.8,50.6,0.26,0,0
3328,0,0.9,2159,41.8,163.5,61.0,0.27,1,0
1163,3,1.4,2007,117.2,166.5,82.9,0.2,1,0
3523,1,0.7,1685,99.0,228.1,90.7,0.12,0,0
3661,1,1.2,1667,46.4,167.2,74.8,0.12,1,0
2857,0,1.1,1656,41.4,177.4,40.9,0.12,0,0
3033,1,1.5,2135,80.9,300.0,109.9,0.21,1,0
1483,2,1.3,1630,97.6,202.6,118.0,0.13,1,0
3570,3,0.6,2066,134.5,183.4,52.6,0.2,0,0
1421,0,1.4,2290,44.8,322.6,59.6,0.29,0,0
2932,3,0.9,1753,64.7,199.7,113.3,0.07,0,0
2310,0,0.8,1679,59.7,310.9,118.5,0.23,0,0
2642,2,0.6,2076,49.5,241.3,69.5,0.35,1,0
2194,3,1.1,1911,80.5,344.4,119.8,0.3,0,0
1800,1,1.2,2159,40.7,232.0,58.6,0.3,0,0
2418,0,1.1,2310,123.5,225.3,99.0,0.35,1,0
2259,3,0.6,2142,145.7,344.5,51.4,0.39,1,0
2146,2,0.6,1837,90.4,299.6,86.5,0.36,1,0
3070,3,0.6,2003,112.9,176.1,63.3,0.03,0,0
2290,2,1.4,2002,89.8,196.7,115.5,0.28,1,0
1557,1,1.3,2198,89.5,212.8,49.7,0.04,0,0
2467,2,1.5,1812,133.8,168.1,104.6,0.18,1,0
2246,2,1.3,2313,56.3,292.2,117.5,0.24,0,0
2623,0,1.0,2293,144.7,320.9,84.5,0.12,0,0
3253,0,0.7,2073,41.3,316.1,118.6,0.04,0,0
1535,2,0.7,2010,140.9,165.0,119.8,0.15,0,0
1809,2,1.4,2054,53.5,338.5,44.1,0.32,0,0
3350,3,0.9,2341,115.2,184.6,57.2,0.16,0,0
1766,1,0.8,2056,111.2,249.8,110.6,0.35,0,0
2962,1,0.6,1886,110.7,309.4,59.9,0.15,1,0
3226,3,1.3,1991,99.9,246.9,113.0,0.31,1,0
3057,1,0.8,1876,43.2,312.1,62.5,0.07,1,0
2932,1,1.0,2385,51.0,281.4,61.3,0.23,0,0
1229,2,1.3,1824,142.9,348.3,53.9,0.23,1,0
1968,2,1.1,2355,144.2,262.7,85.0,0.28,0,0
1771,3,1.3,2104,44.2,161.2,88.1,0.22,0,0
1081,1,1.0,1600,77.5,185.5,104.2,0.13,0,0
2325,0,0.6,1751,133.1,322.1,116.8,0.23,0,0
2530,2,1.2,2278,73.2,177.3,52.6,0.16,0,0
2789,2,1.3,2098,64.6,267.8,54.0,0.26,0,0
2256,3,1.2,1901,133.6,304.2,85.4,0.05,0,0
1745,3,1.1,2226,55.5,299.1,59.0,0.09,0,0
2308,3,0.7,1690,41.3,191.9,95.5,0.33,1,0
2435,3,0.8,1710,88.2,233.9,53.3,0.29,0,0
2695,0,1.0,1987,131.2,307.7,86.2,0.14,1,0
3814,2,0.7,2062,42.2,202.2,48.4,0.03,0,0
2400,0,0.7,1984,77.2,347.1,111.5,0.06,0,0
3885,1,0.5,2269,45.9,216.2,118.0,0.07,1,0
2676,2,1.2,2339,72.7,169.2,71.4,0.37,1,0
3251,3,1.3,1757,49.6,314.8,90.0,0.02,0,0
2967,0,0.7,1626,92.1,173.1,102.8,0.08,1,0
2928,1,1.0,2276,80.8,226.3,54.9,0.11,1,0
1182,0,0.8,2076,56.6,289.3,47.7,0.11,1,0
3736,0,0.8,2154,132.5,313.7,73.5,0.17,0,0
3193,3,1.2,2086,72.9,229.0,108.3,0.23,0,0
1142,0,1.0,2129,144.4,239.8,115.9,0.32,0,0
1684,0,1.5,1797,148.7,237.1,119.8,0.05,1,0
3569,0,0.6,2209,82.7,229.5,66.1,0.1,0,0
2131,0,1.0,1612,85.6,179.6,87.0,0.31,1,0
1410,2,1.4,2176,136.6,202.8,92.4,0.31,1,0
3343,1,1.1,1638,108.0,286.2,72.1,0.07,1,0
2621,3,1.4,1939,141.3,329.4,41.6,0.28,0,0
2241,1,0.8,2103,54.8,344.8,75.4,0.34,0,0
2314,1,0.8,2026,88.6,332.7,72.6,0.24,0,0
2984,0,1.3,1982,74.2,251.4,50.9,0.33,0,0
3147,0,1.4,1629,67.4,241.3,113.4,0.07,0,0
3886,0,0.7,1977,114.9,198.4,79.1,0.33,1,0
2827,2,0.7,2085,58.0,328.9,99.9,0.23,1,0
3821,1,0.6,1628,134.3,279.5,94.2,0.15,0,0
2102,3,1.2,2125,140.3,279.5,88.1,0.01,0,0
1034,2,0.7,2222,86.6,225.3,67.9,0.32,1,0
2032,0,0.7,1909,40.8,349.9,117.3,0.27,1,0
2532,0,1.1,2208,93.0,217.3,62.1,0.24,1,0
2331,1,1.4,1867,56.5,303.1,112.0,0.26,1,0
3457,3,0.9,1927,149.7,201.9,73.5,0.27,0,0
2590,2,1.2,2197,119.9,194.5,82.8,0.28,0,0
2948,1,1.4,2287,132.5,325.3,54.5,0.14,1,0
1399,2,1.0,2358,112.0,194.5,57.9,0.1,0,0
2257,3,0.9,1939,133.6,244.1,109.3,0.15,1,0
3390,0,1.1,2235,135.4,226.3,63.9,0.03,0,0
1221,2,1.4,1754,85.0,263.9,112.5,0.05,0,0
2874,3,0.6,2332,76.6,347.3,65.1,0.07,0,0
1237,1,0.5,1880,93.9,302.7,47.0,0.08,0,0
3516,3,0.9,2039,40.5,256.8,98.5,0.16,1,0
1057,0,1.4,2375,114.4,275.3,59.9,0.33,0,0
3840,2,1.4,1919,58.4,314.8,63.9,0.05,1,0
5191,3,2.0,2332,137.7,349.1,67.4,0.58,3,1
7692,0,2.0,2568,65.1,295.4,50.5,0.46,3,1
7006,0,1.5,2316,81.3,278.1,101.7,0.45,3,1
6552,0,1.5,1849,115.9,233.4,70.4,0.6,2,1
6241,2,1.8,2518,86.3,170.2,81.6,0.45,2,1
6550,0,2.1,1940,71.1,307.0,79.8,0.53,2,1
6494,2,1.7,2069,117.4,209.1,43.2,0.65,2,1
6033,1,2.4,2504,40.3,284.3,112.6,0.68,3,1
7421,0,2.1,2305,119.6,170.3,60.5,0.44,2,1
4946,0,2.0,2103,129.4,324.8,108.2,0.48,2,1
5475,0,2.3,2120,133.6,328.1,40.8,0.53,2,1
4566,2,2.2,1974,136.6,168.6,105.2,0.5,3,1
4749,3,1.6,2209,115.9,245.6,73.7,0.69,3,1
7629,1,2.3,1915,51.4,332.2,78.6,0.44,2,1
6330,0,2.2,1985,134.9,326.0,98.2,0.58,3,1
7652,3,1.6,2299,45.1,202.3,65.1,0.43,3,1
6885,2,2.4,2337,97.1,287.6,89.5,0.63,2,1
5772,1,2.2,2054,132.3,261.7,119.0,0.54,3,1
4223,3,1.5,1960,135.6,165.0,79.3,0.55,3,1
4986,3,1.8,2084,84.4,197.0,76.7,0.42,2,1
7281,2,2.1,1890,53.1,249.5,92.3,0.66,3,1
4420,0,1.9,1836,127.1,342.6,91.0,0.57,2,1
7645,2,2.0,2011,80.0,160.9,57.8,0.6,3,1
5861,2,1.8,2585,118.8,172.8,100.7,0.59,3,1
4908,2,1.5,2163,117.2,159.2,53.1,0.65,3,1
4575,2,2.3,2560,107.2,187.5,114.4,0.62,2,1
5609,0,1.7,2600,123.3,159.3,90.7,0.46,3,1
6753,1,2.1,2590,146.0,150.9,98.9,0.67,3,1
6266,1,2.4,2399,120.4,175.7,71.0,0.54,2,1
6459,3,2.1,2129,147.7,333.2,101.0,0.55,3,1
5120,1,1.9,2151,55.2,270.5,110.9,0.69,3,1
6098,1,1.8,2518,62.1,274.8,63.2,0.56,3,1
5414,2,2.4,1935,118.1,302.2,85.0,0.69,2,1
6387,3,2.1,2483,128.9,254.5,42.0,0.61,3,1
