sleep_hours,sleep_quality,water_liters,steps_count,activity_type,calories,protein,carbs,fat,habit_completion_ratio,mood
8.3,1,3.1,9024,1,2587,133.9,176.7,70.5,0.84,Happy
7.7,2,2.9,10864,3,2362,40.9,366.3,102.3,0.79,Happy
8.9,1,3.9,11052,1,3043,128.2,204.8,55.2,0.85,Happy
7.5,0,3.6,11143,0,3085,111.1,227.2,75.3,0.9,Happy
8.2,1,3.6,8369,3,2159,62.1,346.6,110.1,0.97,Happy
7.7,1,3.3,9116,3,2404,122.1,234.7,49.2,0.95,Happy
8.9,2,2.7,11958,3,2941,80.2,347.7,41.1,0.77,Happy
8.1,1,3.2,10755,3,3107,143.4,177.1,58.7,0.92,Happy
7.1,2,3.8,10299,1,3126,47.0,356.0,112.8,0.8,Happy
7.6,0,3.1,8572,2,2808,52.8,208.7,83.0,0.71,Happy
7.8,2,3.1,11888,3,3002,121.6,188.6,73.2,0.92,Happy
7.2,1,3.2,9671,0,2558,63.9,261.2,58.9,0.98,Happy
7.7,2,4.0,9504,2,1924,83.8,197.5,49.8,0.86,Happy
8.7,2,3.2,10714,0,1903,126.5,210.9,50.1,0.76,Happy
8.1,2,2.6,11134,1,2277,76.1,186.9,112.0,0.87,Happy
7.0,2,3.8,8592,2,2157,52.1,366.6,50.5,1.0,Happy
7.7,0,3.7,10411,2,1907,53.9,255.2,49.1,0.8,Happy
7.1,0,3.2,9482,3,2831,64.4,303.8,98.2,0.85,Happy
8.8,0,3.5,9235,0,2780,133.2,256.6,48.6,0.84,Happy
8.4,2,3.2,11683,1,1934,53.9,306.1,86.8,0.72,Happy
8.4,1,3.1,10446,3,2003,127.2,178.6,92.4,0.86,Happy
8.8,1,3.3,11545,1,2647,77.3,263.4,73.3,0.76,Happy
7.2,0,3.1,10724,3,1937,50.0,171.3,74.6,0.78,Happy
8.5,2,3.1,8532,2,3172,53.4,238.4,93.2,0.87,Happy
8.5,1,3.8,10953,2,2520,51.4,276.9,52.4,0.72,Happy
8.0,1,3.8,9434,0,2370,103.2,351.8,107.6,0.95,Happy
8.9,2,3.7,10513,0,3047,142.2,357.4,61.4,0.9,Happy
7.4,1,3.6,9265,0,2171,135.7,291.6,72.1,0.98,Happy
7.3,2,3.4,8125,1,2570,86.2,235.2,69.6,0.73,Happy
8.4,0,3.7,10324,1,2122,123.0,162.4,46.5,0.88,Happy
7.9,1,3.1,10486,1,2849,52.5,257.5,62.7,0.83,Happy
8.4,0,3.2,10732,3,3027,46.0,201.1,115.6,0.79,Happy
8.5,0,3.6,9185,3,2681,59.3,245.1,96.3,0.8,Happy
8.0,1,3.8,11302,0,2693,42.1,380.3,109.0,0.81,Happy
8.2,1,3.4,10906,0,2629,42.3,231.2,104.1,0.89,Happy
8.2,1,3.7,11767,0,2298,87.9,250.1,46.3,0.81,Happy
8.7,0,3.6,8907,0,2845,109.7,282.7,55.5,0.8,Happy
8.6,0,3.0,11924,1,2010,56.1,199.3,88.2,0.95,Happy
8.5,2,3.5,8725,3,2750,123.0,340.0,75.9,0.99,Happy
8.8,1,3.3,10602,2,2109,88.4,267.2,90.5,1.0,Happy
8.6,1,3.4,9441,3,2725,44.1,242.2,63.0,0.85,Happy
8.3,2,4.0,8369,3,2747,103.8,388.6,99.1,0.88,Happy
7.1,1,3.9,10341,3,2826,56.6,165.5,48.3,0.9,Happy
8.8,2,3.0,10925,1,1880,67.3,259.4,75.2,0.73,Happy
8.0,1,2.7,9527,3,2492,114.7,163.1,90.5,0.98,Happy
7.7,1,3.0,10285,2,3144,146.1,300.7,52.0,0.9,Happy
7.2,2,3.5,11754,3,2064,105.5,384.5,64.8,0.8,Happy
7.8,2,3.7,11330,0,3123,113.8,277.1,41.5,0.74,Happy
7.6,1,3.9,9399,1,2263,150.0,188.7,63.7,0.98,Happy
8.6,2,3.3,10210,0,3155,77.0,341.6,50.5,0.95,Happy
7.8,2,2.7,11405,1,2696,44.8,241.1,97.6,0.91,Happy
8.9,1,3.4,11081,1,2893,66.3,391.4,102.7,0.92,Happy
8.8,1,2.8,10778,3,2377,125.6,275.7,73.5,0.98,Happy
7.3,1,2.8,10476,0,3113,92.9,242.8,114.7,0.74,Happy
8.4,0,3.3,8510,2,2720,139.6,186.8,75.0,0.79,Happy
8.9,0,2.8,9847,3,1909,83.6,243.5,70.9,0.97,Happy
7.2,2,2.8,9305,2,2099,55.1,221.7,106.4,0.98,Happy
8.4,2,2.7,10889,0,1962,42.1,203.9,52.0,0.84,Happy
8.9,1,3.4,9733,1,2416,53.4,209.6,91.1,0.73,Happy
8.2,2,2.6,11427,0,3094,96.7,210.5,51.5,0.97,Happy
7.9,0,3.4,8985,0,2872,147.2,166.9,82.1,0.87,Happy
8.0,1,4.0,10269,0,3101,82.6,243.3,99.8,0.71,Happy
7.7,2,2.6,8987,0,2991,120.9,233.1,43.5,0.92,Happy
8.1,2,3.7,8717,3,2780,109.5,352.9,45.0,0.95,Happy
8.6,0,3.2,9201,0,2446,142.7,278.8,119.1,0.76,Happy
8.1,1,2.9,11085,2,1897,135.2,233.0,50.0,0.89,Happy
7.7,1,3.8,11044,2,2182,94.6,274.4,113.9,0.83,Happy
8.0,1,3.7,10978,1,2917,72.3,175.6,66.2,0.83,Happy
7.6,2,3.2,10939,3,2519,89.2,331.7,112.9,0.83,Happy
8.2,0,3.2,10619,0,3174,110.1,240.8,104.1,0.99,Happy
8.4,2,3.9,8584,3,1871,53.9,209.0,91.6,0.95,Happy
7.7,2,3.9,8132,3,2559,80.9,340.8,85.9,0.88,Happy
8.1,0,3.1,10660,0,2181,94.9,246.7,84.9,0.78,Happy
7.5,2,2.9,9827,2,2805,62.0,183.9,45.9,0.76,Happy
7.3,1,3.6,8359,2,1932,100.5,222.6,64.0,0.94,Happy
7.3,1,3.6,10868,1,2048,148.4,348.0,58.9,0.89,Happy
8.0,2,3.0,10344,1,3053,137.3,166.4,71.9,0.81,Happy
8.4,2,3.2,9682,0,2056,147.0,310.6,76.0,0.93,Happy
8.4,2,3.0,11596,1,2064,87.6,377.7,44.4,0.95,Happy
7.2,2,2.7,8674,1,2508,144.2,279.7,62.7,0.75,Happy
7.2,0,2.8,11917,2,3058,98.7,275.6,53.5,0.87,Happy
8.9,2,2.7,10698,2,2954,44.5,365.9,46.5,0.89,Happy
8.9,2,3.7,9084,3,3065,110.3,274.5,90.2,0.9,Happy
7.6,2,3.9,9978,3,2409,89.9,322.2,52.6,0.77,Happy
7.8,1,3.2,9393,2,2507,147.3,182.7,69.6,0.88,Happy
8.1,1,3.0,9910,1,2088,50.6,222.6,70.7,0.74,Happy
8.2,1,2.9,11544,2,2188,123.9,274.6,81.2,0.97,Happy
8.0,1,3.0,8094,3,2293,63.7,238.2,44.0,0.73,Happy
8.0,1,3.8,10679,0,2020,87.4,370.6,98.2,0.9,Happy
8.5,2,3.0,9640,1,2542,100.9,168.4,80.3,0.72,Happy
8.5,0,2.9,10552,1,1998,83.3,348.7,67.1,0.9,Happy
8.9,1,3.6,8815,0,1892,44.3,328.4,104.3,0.88,Happy
8.0,1,2.7,11658,2,2132,83.2,304.1,107.4,0.85,Happy
8.2,2,3.3,10087,2,2772,129.7,242.1,93.9,0.86,Happy
9.0,2,3.4,11263,0,3022,92.2,391.8,102.6,0.97,Happy
8.6,1,3.4,10954,1,2873,109.2,304.9,107.3,0.72,Happy
7.3,2,3.5,8129,0,2190,42.1,228.4,52.1,0.87,Happy
8.4,1,3.1,11174,0,2082,97.1,290.2,119.8,0.88,Happy
8.0,2,3.1,11918,2,2918,79.0,343.0,97.7,0.75,Happy
8.3,0,3.5,10498,2,2942,72.8,385.4,118.6,0.85,Happy
8.5,1,3.6,10827,3,2514,101.7,383.6,97.7,0.91,Relaxed
7.6,1,3.4,10224,2,2099,71.9,221.9,97.1,0.81,Relaxed
7.7,0,3.2,9050,1,2903,69.8,290.5,61.7,0.92,Relaxed
7.2,2,3.6,8980,1,3106,65.6,175.0,66.4,0.77,Relaxed
7.9,2,3.5,8563,1,2633,111.8,370.2,78.1,0.7,Relaxed
8.3,2,3.6,9176,0,1983,111.8,208.1,99.1,0.8,Relaxed
8.7,0,2.6,11774,0,2613,126.7,196.6,99.9,0.75,Relaxed
8.7,2,2.9,8153,0,2486,71.3,397.3,83.5,0.7,Relaxed
8.0,1,3.9,11485,1,2030,76.4,332.8,91.9,0.85,Relaxed
8.4,2,2.5,9380,1,2159,107.2,309.7,72.4,0.94,Relaxed
7.9,0,3.0,9641,1,2777,75.6,212.0,60.9,0.9,Relaxed
7.5,2,3.6,11907,0,2335,111.9,323.2,45.0,0.8,Relaxed
7.2,2,3.0,9660,2,2040,110.3,385.2,69.4,0.91,Relaxed
7.4,2,3.9,9958,2,2651,117.2,378.2,100.6,0.75,Relaxed
8.6,2,3.7,11120,0,2876,89.1,325.9,46.2,0.77,Relaxed
8.1,0,2.6,10243,1,2136,76.1,280.1,49.3,0.97,Relaxed
7.4,1,3.4,8372,0,2728,54.5,253.9,85.1,0.97,Relaxed
8.1,1,3.5,9262,2,1806,122.0,294.6,43.6,0.92,Relaxed
7.7,0,2.6,8246,3,1864,71.6,195.0,50.8,0.98,Relaxed
8.3,1,3.6,11947,3,2573,81.3,320.7,92.9,0.83,Relaxed
8.1,2,3.5,9424,3,2883,54.0,394.7,106.8,0.74,Relaxed
8.5,2,4.0,9896,3,2889,81.7,207.4,76.9,0.9,Relaxed
7.3,0,2.8,11584,0,3152,86.1,341.5,110.7,0.92,Relaxed
7.0,1,2.8,8413,0,2301,121.5,250.6,58.7,0.88,Relaxed
7.4,1,3.8,8231,1,2979,75.1,299.5,93.8,0.74,Relaxed
7.6,2,3.0,8586,1,2646,73.1,165.2,115.9,1.0,Relaxed
8.8,2,3.9,10564,3,1896,147.0,385.4,93.7,0.9,Relaxed
8.6,1,3.0,9705,3,2176,123.0,268.4,107.9,0.82,Relaxed
7.6,0,3.6,11300,3,2653,101.3,183.5,59.4,0.84,Relaxed
7.4,1,3.5,11777,0,2896,119.7,197.6,61.5,0.83,Relaxed
8.3,2,3.4,11578,1,2781,63.0,376.8,64.3,0.72,Relaxed
8.8,0,2.8,8778,3,2296,116.5,325.9,71.7,0.99,Relaxed
7.5,2,3.0,9159,2,2431,68.8,278.2,79.8,0.81,Relaxed
7.2,1,4.0,9923,1,2559,74.4,161.4,109.1,0.93,Relaxed
8.5,2,2.5,10266,3,2404,56.8,232.5,70.4,0.98,Relaxed
8.7,1,3.2,10681,2,2800,146.3,310.4,79.2,0.98,Relaxed
7.3,2,3.7,8693,3,2176,140.9,285.5,91.3,0.74,Relaxed
7.1,2,2.6,11468,0,1813,85.4,360.6,58.5,0.72,Relaxed
8.4,0,2.5,10071,3,3150,93.7,151.7,84.1,0.84,Relaxed
7.0,1,3.3,9125,0,2828,129.4,318.5,104.5,0.86,Relaxed
8.8,0,2.7,8394,1,3069,97.9,353.8,61.4,0.86,Relaxed
7.8,0,3.1,9663,1,2414,115.2,362.0,92.3,0.84,Relaxed
8.7,1,3.6,8382,3,1914,110.0,325.7,46.6,0.82,Relaxed
8.7,0,3.5,9356,0,2270,63.3,367.0,111.0,0.87,Relaxed
8.0,1,2.6,8304,0,2167,142.2,228.6,116.9,0.91,Relaxed
8.2,0,3.6,10919,2,2132,102.0,291.7,108.0,0.95,Relaxed
8.4,0,3.3,9572,0,2825,122.0,236.5,47.8,0.93,Relaxed
7.5,2,2.6,10478,3,2468,43.3,218.3,119.4,0.93,Relaxed
8.0,0,3.0,11854,3,1975,124.9,223.8,59.7,0.81,Relaxed
7.1,2,2.9,9556,1,2597,74.8,176.6,40.4,0.91,Relaxed
7.6,0,3.0,9104,1,2682,89.4,288.7,72.6,0.73,Relaxed
7.1,1,3.0,8381,3,1825,72.1,246.9,46.8,0.88,Relaxed
8.8,0,3.9,8994,3,2147,55.3,225.3,79.4,0.87,Relaxed
7.1,0,3.2,9724,2,2315,143.9,330.2,79.7,0.79,Relaxed
8.2,1,3.2,8554,2,3070,81.8,365.5,75.2,0.79,Relaxed
7.9,0,3.7,10666,2,2456,106.4,323.8,78.3,0.99,Relaxed
7.4,2,3.1,9307,3,2979,126.0,231.5,62.4,0.79,Relaxed
8.6,2,3.0,11817,1,3196,124.4,156.7,98.2,0.87,Relaxed
8.9,2,2.8,11267,0,2637,114.0,184.8,64.2,0.79,Relaxed
7.5,0,2.7,9733,3,3024,92.7,250.2,80.5,0.94,Relaxed
8.8,1,3.5,10226,0,2023,124.6,314.4,68.4,0.71,Relaxed
8.3,1,2.6,10642,2,2681,51.7,174.7,57.8,0.9,Relaxed
8.5,1,3.3,10816,2,2601,90.9,319.9,95.2,0.87,Relaxed
7.3,1,4.0,9977,0,2037,131.4,332.5,67.9,0.73,Relaxed
7.7,1,3.7,10134,0,2697,119.4,263.1,45.4,0.84,Relaxed
7.1,2,3.6,8092,0,3186,128.0,382.5,99.2,0.95,Relaxed
8.0,1,3.3,9355,1,2629,109.3,196.6,92.6,0.87,Relaxed
7.8,2,3.6,11617,3,2596,40.5,203.7,62.3,0.76,Relaxed
8.4,2,3.7,10364,1,2549,75.9,264.4,61.0,0.73,Relaxed
8.7,1,3.3,10617,3,3002,52.6,238.0,76.6,0.79,Relaxed
7.3,2,3.5,11279,0,3176,54.7,179.5,64.4,0.79,Relaxed
7.4,2,3.5,10092,1,2977,82.2,196.4,90.8,0.82,Relaxed
8.4,1,3.5,8709,2,2087,60.6,360.5,89.6,0.87,Relaxed
8.7,1,3.9,9984,3,2637,115.3,253.9,107.2,0.74,Relaxed
8.0,0,2.6,8126,2,1866,70.2,284.4,53.5,0.94,Relaxed
7.9,2,3.6,11137,0,2972,52.6,343.8,105.9,0.85,Relaxed
7.7,1,3.7,8170,1,2670,51.3,357.5,100.1,0.93,Relaxed
7.6,0,4.0,9842,3,2040,125.3,209.2,104.9,0.78,Relaxed
8.2,1,3.0,10911,1,3061,55.3,201.7,56.6,0.88,Relaxed
7.1,0,3.0,9151,2,2399,71.8,216.8,108.6,0.88,Relaxed
9.0,1,3.5,8390,0,2367,135.4,181.7,109.3,0.74,Relaxed
7.5,2,3.6,11393,3,2802,55.6,308.1,90.2,0.77,Relaxed
7.8,0,2.6,11254,3,2855,122.5,323.7,110.2,0.96,Relaxed
7.9,2,3.2,10383,0,2738,109.8,324.3,108.0,0.7,Relaxed
8.6,0,3.1,11965,3,2349,75.5,220.9,83.8,0.83,Relaxed
7.3,2,3.8,11228,0,1894,51.0,346.0,76.8,0.8,Relaxed
7.2,1,3.8,9807,1,2070,137.0,225.5,110.0,0.84,Relaxed
8.8,1,2.6,9476,1,1906,83.6,226.4,96.0,0.78,Relaxed
7.5,0,3.5,10882,3,1959,54.6,206.5,94.4,0.73,Relaxed
7.0,1,3.5,11346,1,2778,47.8,245.8,98.5,0.74,Relaxed
7.2,1,3.0,11608,1,3113,149.2,185.7,82.4,0.79,Relaxed
7.0,0,3.5,9802,1,2643,107.8,260.6,57.4,0.81,Relaxed
8.8,1,2.7,8504,2,2679,74.6,185.0,62.2,0.88,Relaxed
7.2,1,3.3,10457,0,3148,136.3,201.4,88.6,0.92,Relaxed
7.4,0,3.1,10646,3,2590,52.4,274.9,87.5,0.72,Relaxed
8.1,0,4.0,9479,3,2964,86.3,286.6,53.8,0.98,Relaxed
7.9,0,4.0,8298,0,2336,63.7,380.6,115.9,0.71,Relaxed
7.8,1,2.9,10918,3,2623,49.1,284.1,89.3,0.85,Relaxed
7.6,0,3.0,10094,2,2600,104.5,340.8,92.0,0.98,Relaxed
8.3,0,3.0,9791,0,2300,49.5,258.6,76.3,0.92,Relaxed
8.2,0,3.0,11037,0,1825,117.9,325.4,53.1,0.9,Relaxed
8.9,1,3.3,11207,1,2561,54.0,345.3,61.5,0.95,Relaxed
8.8,1,3.7,8120,2,2872,47.0,328.1,86.1,0.8,Relaxed
7.2,2,3.2,9475,1,2553,57.3,343.3,111.5,0.72,Relaxed
8.3,0,2.7,11034,0,2300,45.1,241.0,113.6,0.85,Relaxed
7.4,2,3.9,8144,3,2259,75.4,254.1,97.6,0.87,Relaxed
7.5,2,2.6,9527,0,2167,64.6,278.9,43.7,0.74,Relaxed
7.8,1,3.8,11547,2,1976,100.8,152.0,56.1,0.78,Relaxed
8.1,1,3.0,10550,3,2200,120.6,286.6,103.7,0.77,Relaxed
7.3,1,3.9,8097,0,2486,40.2,314.3,107.9,0.77,Relaxed
8.5,1,2.7,10170,3,1922,147.0,185.6,62.4,0.99,Relaxed
7.1,2,2.8,11463,2,2738,147.2,171.2,47.6,0.86,Relaxed
7.3,0,3.7,8306,3,3156,146.1,209.2,60.9,0.88,Relaxed
7.6,1,3.7,10870,2,2727,69.9,168.7,56.2,0.95,Relaxed
8.6,1,3.4,8636,3,2443,84.7,284.0,117.2,0.73,Relaxed
7.4,0,3.0,9085,1,2423,130.9,324.2,43.2,0.96,Relaxed
8.7,1,3.0,8373,3,2851,45.4,224.7,105.6,0.91,Relaxed
7.3,2,3.9,11500,1,1993,90.8,351.0,51.2,0.84,Relaxed
7.0,1,3.7,8910,2,3090,143.1,171.0,86.9,0.74,Relaxed
8.8,2,2.6,8264,3,2063,50.1,361.8,104.7,0.76,Relaxed
7.2,2,3.9,8207,3,2608,94.6,245.7,74.1,0.75,Relaxed
7.7,0,3.9,9126,0,3057,108.1,211.4,63.6,0.78,Relaxed
7.8,1,3.3,8249,1,2658,61.9,371.2,82.1,0.73,Relaxed
8.3,1,3.7,11255,2,2782,99.9,271.2,113.0,0.71,Relaxed
8.0,2,3.1,8736,1,1860,138.5,344.6,44.7,0.71,Relaxed
9.0,0,3.3,11140,1,2005,67.3,210.3,82.7,0.88,Relaxed
8.6,0,3.6,11129,3,2526,142.9,397.9,53.9,1.0,Relaxed
7.5,2,3.0,11023,0,2520,144.2,290.9,85.0,0.91,Relaxed
7.4,2,4.0,11611,2,2159,93.9,172.6,58.6,0.99,Relaxed
7.4,2,3.3,8002,1,2067,77.5,194.4,104.2,0.8,Relaxed
8.7,0,2.6,8605,0,2877,134.7,390.1,69.9,0.88,Relaxed
8.9,1,3.1,8413,1,2122,120.6,259.2,91.1,0.8,Relaxed
8.0,2,3.0,10896,2,2257,113.2,353.6,70.3,0.99,Relaxed
8.5,2,2.9,8727,3,2962,43.6,300.6,113.7,0.92,Relaxed
8.9,1,2.8,10316,1,2478,122.0,209.5,118.6,0.73,Relaxed
7.3,2,3.8,8363,2,2714,41.3,202.4,95.5,0.95,Relaxed
7.7,1,3.7,10950,3,2659,146.6,371.1,79.4,0.7,Relaxed
7.8,2,3.3,8415,1,2133,89.6,349.8,42.7,0.95,Relaxed
7.0,0,2.9,8428,3,2129,120.5,286.8,111.8,0.72,Relaxed
7.2,2,3.4,10513,0,2683,143.7,191.2,111.2,0.97,Relaxed
7.3,1,2.7,8841,2,3152,71.0,209.4,44.0,0.99,Relaxed
8.1,0,3.8,8629,3,1979,72.4,315.5,88.0,0.72,Relaxed
7.4,0,2.5,8699,3,2036,73.9,249.4,79.1,0.89,Relaxed
8.3,1,2.6,10228,3,2556,60.5,161.2,75.2,0.82,Relaxed
7.5,2,3.8,10311,0,1975,113.5,352.0,73.1,0.72,Relaxed
8.5,2,2.8,8249,3,2896,115.6,384.1,85.8,0.95,Relaxed
7.5,2,2.9,9617,0,2828,102.8,279.2,85.7,0.97,Relaxed
9.0,0,2.7,11888,1,2233,128.9,181.5,73.9,0.93,Relaxed
9.0,2,3.2,11369,2,2454,140.2,378.5,45.4,0.89,Relaxed
7.8,2,3.1,9335,3,1825,126.5,305.8,81.8,0.96,Relaxed
7.8,2,3.1,8607,0,2016,101.9,175.2,62.9,0.87,Relaxed
8.1,2,3.0,9683,3,2971,107.0,159.4,62.0,0.78,Relaxed
7.3,1,3.4,10841,2,2286,45.4,268.8,61.5,0.82,Relaxed
7.7,1,3.0,11250,3,2001,147.0,207.0,64.0,0.79,Relaxed
8.5,1,3.7,9314,0,2184,88.6,378.4,72.6,0.78,Relaxed
8.0,2,3.3,9531,1,1934,74.2,276.7,50.9,0.95,Relaxed
8.7,0,3.8,8118,0,2310,43.6,162.6,68.8,0.75,Relaxed
